Number,valence,energy,tension,anger,fear,happy,sad,tender,TARGET,,
81,6.50,2.67,1.83,1.00,1.00,1.00,5.67,5.17,TENDER,,
82,6.50,2.83,1.83,1.00,1.00,2.33,2.67,5.17,TENDER,,
83,6.00,4.33,2.50,1.00,1.00,5.17,1.83,4.83,TENDER,,
84,5.17,1.83,2.67,1.00,1.00,1.00,6.60,4.80,TENDER,,
85,5.83,2.33,1.67,1.00,1.00,1.00,7.17,4.67,TENDER,,
86,5.80,3.40,2.40,1.00,1.00,3.33,1.33,4.67,TENDER,,
87,4.80,2.20,3.40,1.00,1.83,1.00,5.50,4.17,TENDER,,
88,5.80,2.20,1.60,1.00,1.33,3.33,2.17,4.17,TENDER,,
89,4.83,1.83,2.17,1.00,1.67,1.17,2.83,3.67,TENDER,,
90,5.17,3.00,3.00,1.00,1.00,4.67,2.17,2.50,TENDER,,
91,1.17,4.50,6.50,5.17,7.50,1.00,1.00,1.00,FEAR,,
92,2.33,5.67,6.00,4.33,7.00,1.00,1.00,1.00,FEAR,,
93,2.33,3.33,5.83,2.00,6.80,1.00,1.60,1.00,FEAR,,
94,1.00,5.20,6.60,2.50,6.67,1.00,1.00,1.00,FEAR,,
95,2.40,5.40,6.00,4.50,6.67,1.00,1.00,1.00,FEAR,,
96,2.83,4.67,5.50,2.50,6.67,1.00,1.00,1.00,FEAR,,
97,2.80,6.00,6.00,2.50,6.33,1.17,1.00,1.00,FEAR,,
98,1.60,4.00,5.40,4.00,6.17,1.00,1.00,1.00,FEAR,,
99,3.00,4.60,5.80,2.17,6.17,1.00,3.50,1.00,FEAR,,
100,2.50,5.50,6.17,2.67,6.00,1.00,1.83,1.00,FEAR,,
101,2.50,3.67,6.17,2.00,6.00,1.00,1.00,1.00,FEAR,,
102,2.83,4.83,6.00,2.83,6.00,1.00,3.33,1.00,FEAR,,
103,2.40,6.00,6.20,3.67,5.83,1.00,1.00,1.00,FEAR,,
104,3.00,5.00,6.60,4.00,5.83,1.00,1.33,1.00,FEAR,,
105,1.17,4.67,6.33,5.00,5.80,1.00,1.00,1.00,FEAR,,
106,2.40,2.80,6.20,2.00,5.50,1.00,1.33,1.00,FEAR,,
107,2.33,2.83,5.83,1.50,5.50,1.00,2.33,1.00,FEAR,,
108,1.50,4.83,6.17,7.00,5.33,1.17,1.00,1.00,FEAR,,
109,2.20,3.60,4.80,5.33,5.17,1.00,1.00,1.00,FEAR,,
110,3.17,6.33,5.83,7.00,4.83,1.00,1.00,1.00,FEAR,,
111,2.00,5.20,6.60,6.50,4.83,1.00,1.00,1.00,FEAR,,
112,3.00,3.00,5.20,1.50,4.67,1.00,3.50,1.00,FEAR,,
113,2.50,5.50,5.83,3.67,4.17,1.00,1.00,1.00,FEAR,,
114,3.60,4.00,4.80,3.80,4.00,1.00,1.00,1.00,FEAR,,
115,3.40,3.80,5.60,1.00,4.00,1.33,4.83,1.00,FEAR,,
116,3.60,3.80,6.00,5.17,4.00,1.00,1.00,1.00,FEAR,,
117,2.50,4.00,5.50,2.60,3.80,1.00,4.40,1.00,FEAR,,
118,3.60,2.00,5.00,1.00,3.00,1.00,6.17,1.50,FEAR,,
119,3.33,2.50,4.83,1.00,2.40,1.00,4.00,1.00,FEAR,,
120,4.60,2.60,3.80,1.33,2.00,1.00,4.83,1.50,FEAR,,
121,2.50,5.17,5.67,7.83,6.00,1.00,1.00,1.00,ANGER,,
122,4.00,5.50,6.00,7.80,3.20,1.00,3.60,1.00,ANGER,,
123,2.40,6.40,6.60,7.67,4.83,1.00,1.33,1.00,ANGER,,
124,1.60,5.80,6.60,7.50,3.33,1.17,1.00,1.00,ANGER,,
125,2.20,5.80,6.00,7.40,4.00,1.00,1.00,1.00,ANGER,,
126,1.80,5.80,6.40,7.17,4.33,1.00,1.00,1.00,ANGER,,
127,2.40,6.60,6.60,7.17,4.00,1.17,1.00,1.00,ANGER,,
128,2.83,6.00,5.50,7.00,5.67,1.00,1.00,1.00,ANGER,,
129,2.80,5.20,6.20,6.67,6.17,1.00,1.00,1.00,ANGER,,
130,2.60,5.20,6.60,6.67,3.83,1.00,1.00,1.00,ANGER,,
131,2.40,5.00,6.00,6.67,3.83,1.00,2.83,1.00,ANGER,,
132,2.33,4.00,5.67,6.33,5.50,1.17,1.00,1.00,ANGER,,
133,2.00,5.67,6.17,6.33,4.17,1.00,1.00,1.00,ANGER,,
134,3.17,5.67,6.33,6.00,5.40,1.00,1.00,1.00,ANGER,,
135,2.00,4.17,5.83,5.80,5.80,1.00,1.60,1.00,ANGER,,
136,3.33,5.50,5.83,5.67,4.83,1.00,2.33,1.00,ANGER,,
137,2.40,4.40,5.40,5.50,5.67,1.00,1.00,1.00,ANGER,,
138,2.40,5.80,6.60,5.40,5.00,1.00,1.00,1.00,ANGER,,
139,1.83,6.00,6.50,5.20,4.20,1.00,1.00,1.00,ANGER,,
140,3.40,5.40,6.20,5.17,4.50,1.00,1.00,1.00,ANGER,,
141,2.17,5.17,6.33,5.00,6.83,1.00,1.00,1.00,ANGER,,
142,3.17,6.00,6.33,4.33,5.67,1.00,1.00,1.00,ANGER,,
143,3.00,5.00,6.20,3.83,4.17,1.00,1.83,1.00,ANGER,,
144,1.67,4.67,6.17,3.50,5.17,1.00,2.33,1.00,ANGER,,
145,3.00,3.67,5.83,3.33,5.67,1.00,2.17,1.00,ANGER,,
146,2.67,4.83,5.33,3.00,5.83,1.00,1.33,1.00,ANGER,,
147,4.67,3.00,5.00,2.83,4.33,1.17,2.50,1.83,ANGER,,
148,3.50,4.67,5.67,2.60,5.00,1.00,1.40,1.00,ANGER,,
149,5.50,2.17,2.83,1.00,1.60,1.00,6.80,2.80,ANGER,,
150,4.60,2.60,3.80,1.00,2.17,1.17,6.83,3.00,ANGER,,
151,3.83,5.17,4.50,1.17,2.00,2.83,1.00,1.00,SURPRISE,,
152,2.80,5.00,5.20,1.50,2.33,1.83,1.00,1.00,SURPRISE,,
153,3.83,3.67,5.00,1.50,1.83,1.67,2.67,1.00,SURPRISE,,
154,1.60,7.00,6.00,3.00,1.50,1.17,1.00,1.00,SURPRISE,,
155,3.00,3.00,4.67,1.00,2.17,1.17,1.67,1.00,SURPRISE,,
156,3.33,4.50,5.83,1.00,3.33,3.50,1.00,1.83,SURPRISE,,
157,1.17,5.00,6.67,2.00,6.83,1.00,1.00,1.00,SURPRISE,,
158,1.60,6.00,6.00,2.17,2.83,1.50,1.00,1.00,SURPRISE,,
159,2.33,6.17,6.33,4.83,3.00,1.33,1.00,1.00,SURPRISE,,
160,5.60,4.60,3.80,1.00,1.00,5.00,1.50,1.83,SURPRISE,,
161,4.20,2.40,5.00,1.00,2.83,1.00,3.33,1.00,SURPRISE,,
162,3.00,6.40,5.80,3.40,4.00,1.00,1.00,1.00,SURPRISE,,
163,3.60,4.20,5.20,1.00,1.00,2.00,2.50,1.67,SURPRISE,,
164,2.20,4.40,5.40,1.50,4.67,1.00,1.83,1.00,SURPRISE,,
165,1.50,5.33,6.33,5.80,3.00,2.00,1.00,1.00,SURPRISE,,
166,2.20,3.00,6.20,3.33,4.83,1.00,2.00,1.00,SURPRISE,,
167,3.17,5.83,5.00,3.50,1.67,3.33,1.00,1.00,SURPRISE,,
168,1.83,4.17,6.33,6.67,3.83,1.00,1.00,1.00,SURPRISE,,
169,2.20,6.00,6.40,6.20,5.00,1.00,1.00,1.00,SURPRISE,,
170,1.80,4.20,6.20,3.50,5.33,1.00,1.00,1.00,SURPRISE,,
171,4.33,2.00,2.83,1.67,2.83,1.00,3.33,2.67,SURPRISE,,
172,6.00,6.00,3.60,1.00,1.00,6.33,1.00,1.00,SURPRISE,,
173,3.60,5.40,5.40,1.00,4.50,1.00,1.00,1.00,SURPRISE,,
174,4.00,4.00,5.00,1.00,2.83,1.00,5.00,1.00,SURPRISE,,
175,3.33,3.50,5.50,1.17,3.50,1.00,4.33,1.00,SURPRISE,,
176,2.67,3.33,5.50,1.00,5.17,1.33,2.83,1.00,SURPRISE,,
177,3.20,4.20,5.20,3.33,5.50,1.00,1.00,1.00,SURPRISE,,
178,2.80,4.00,5.60,2.33,4.50,1.00,3.50,1.00,SURPRISE,,
179,4.00,2.20,3.40,1.00,1.50,1.83,4.50,3.50,SURPRISE,,
180,4.20,3.00,3.20,1.00,1.00,2.50,2.33,2.83,SURPRISE,,
181,6.60,3.40,2.40,1.00,1.00,4.80,1.00,6.40,HIGH VALENCE,,
182,6.60,2.80,1.40,1.00,1.00,4.33,2.17,6.67,HIGH VALENCE,,
183,6.50,3.33,1.83,1.00,1.00,1.40,4.40,6.40,HIGH VALENCE,,
184,6.50,3.67,2.00,1.00,1.00,3.00,1.50,6.33,HIGH VALENCE,,
185,6.50,3.50,1.67,1.00,2.00,3.33,2.83,4.67,HIGH VALENCE,,
186,6.40,3.60,2.00,1.00,1.00,4.33,1.67,5.00,HIGH VALENCE,,
187,6.33,4.50,3.00,1.00,1.00,5.17,1.00,5.17,HIGH VALENCE,,
188,6.33,4.67,3.33,1.00,1.00,6.50,1.17,1.33,HIGH VALENCE,,
189,6.17,5.00,3.33,1.17,1.00,2.00,2.50,4.67,HIGH VALENCE,,
190,6.17,3.50,3.17,1.00,1.60,1.00,3.80,4.80,HIGH VALENCE,,
191,6.00,3.40,1.60,1.00,1.00,6.33,1.00,5.50,HIGH VALENCE,,
192,6.00,5.80,2.60,1.00,1.00,7.17,1.00,1.50,HIGH VALENCE,,
193,6.00,5.17,2.83,1.00,1.00,6.83,1.17,3.00,HIGH VALENCE,,
194,5.83,2.83,2.33,1.00,1.00,5.00,1.17,6.33,HIGH VALENCE,,
195,5.67,4.83,2.83,1.00,1.00,4.80,1.00,3.00,HIGH VALENCE,,
196,5.67,3.67,3.17,1.00,1.00,1.00,5.17,5.33,HIGH VALENCE,,
197,5.67,2.00,1.83,1.00,1.00,1.17,5.67,4.00,HIGH VALENCE,,
198,5.60,4.20,2.80,1.00,1.00,6.33,1.00,5.00,HIGH VALENCE,,
199,5.50,5.17,3.50,1.00,1.40,5.20,1.00,1.40,HIGH VALENCE,,
200,5.50,2.83,3.67,1.00,1.00,1.80,4.00,6.00,HIGH VALENCE,,
201,5.50,3.00,2.67,1.00,1.00,5.67,1.00,5.67,HIGH VALENCE,,
202,5.40,6.40,2.60,1.17,1.00,7.00,1.00,1.00,HIGH VALENCE,,
203,5.17,5.17,3.00,1.00,1.00,6.67,1.17,3.00,HIGH VALENCE,,
204,5.17,4.17,4.33,1.00,1.60,2.20,1.00,1.80,HIGH VALENCE,,
205,4.80,5.20,2.80,1.00,1.00,5.83,1.00,3.17,HIGH VALENCE,,
206,4.80,6.20,3.40,1.00,1.00,7.00,1.17,1.00,HIGH VALENCE,,
207,4.60,5.20,2.40,1.00,1.00,6.33,1.17,3.17,HIGH VALENCE,,
208,4.60,4.00,4.00,1.33,1.00,3.17,4.00,3.00,HIGH VALENCE,,
209,4.50,3.67,4.33,1.60,1.40,1.00,4.60,2.00,HIGH VALENCE,,
210,4.33,4.83,4.33,1.00,1.67,1.00,5.67,2.33,HIGH VALENCE,,
211,1.00,4.17,6.83,4.83,7.50,1.00,1.00,1.00,LOW VALENCE,,
212,1.17,5.67,7.00,5.00,6.17,1.17,1.00,1.00,LOW VALENCE,,
213,1.20,4.80,6.80,4.17,7.33,1.00,1.00,1.00,LOW VALENCE,,
214,1.20,6.20,6.40,5.83,6.50,1.00,1.00,1.00,LOW VALENCE,,
215,1.20,3.80,5.40,1.33,5.50,1.00,1.00,1.00,LOW VALENCE,,
216,1.20,4.40,6.80,5.17,7.00,1.00,1.00,1.00,LOW VALENCE,,
217,1.33,6.50,6.83,7.80,5.40,1.00,1.00,1.00,LOW VALENCE,,
218,1.33,4.17,6.33,6.83,4.67,1.00,1.00,1.00,LOW VALENCE,,
219,1.33,4.50,6.67,1.33,7.83,1.00,1.00,1.00,LOW VALENCE,,
220,1.40,4.20,6.40,5.83,6.50,1.00,1.00,1.00,LOW VALENCE,,
221,1.40,5.20,5.60,2.00,6.17,1.00,1.00,1.00,LOW VALENCE,,
222,1.50,3.50,6.83,5.00,7.00,1.00,1.50,1.00,LOW VALENCE,,
223,1.50,5.83,6.83,4.33,6.67,1.00,1.00,1.00,LOW VALENCE,,
224,1.60,4.60,6.60,3.67,7.33,1.17,1.00,1.00,LOW VALENCE,,
225,1.80,5.00,5.80,2.17,5.17,1.00,1.33,1.00,LOW VALENCE,,
226,1.80,5.60,6.40,6.00,5.50,1.00,1.50,1.00,LOW VALENCE,,
227,1.83,5.17,6.33,7.50,2.67,1.17,1.00,1.00,LOW VALENCE,,
228,1.83,3.17,6.00,6.00,4.67,1.00,1.00,1.00,LOW VALENCE,,
229,1.83,5.17,6.00,6.17,4.00,1.00,2.17,1.00,LOW VALENCE,,
230,2.00,4.60,6.60,2.33,6.50,1.00,1.00,1.00,LOW VALENCE,,
231,2.00,2.80,5.60,3.83,6.67,1.00,1.00,1.00,LOW VALENCE,,
232,2.00,5.50,6.83,4.33,6.33,1.00,1.00,1.00,LOW VALENCE,,
233,2.17,4.17,5.33,1.50,5.33,1.00,1.33,1.00,LOW VALENCE,,
234,2.20,4.60,6.60,4.50,7.17,1.00,1.00,1.00,LOW VALENCE,,
235,2.33,4.17,6.00,4.00,6.33,1.00,1.00,1.00,LOW VALENCE,,
236,2.50,3.50,5.83,1.00,6.20,1.00,2.00,1.00,LOW VALENCE,,
237,2.50,4.00,5.67,1.00,4.40,1.00,1.60,1.40,LOW VALENCE,,
238,2.50,4.83,6.00,5.83,5.00,1.00,1.50,1.00,LOW VALENCE,,
239,2.60,5.00,5.60,7.17,4.00,1.00,1.33,1.00,LOW VALENCE,,
240,4.00,3.80,5.40,2.83,4.33,1.00,3.33,1.00,LOW VALENCE,,
241,4.20,6.80,4.00,1.00,1.00,7.00,1.00,1.40,HIGH ENERGY,,
242,5.67,6.67,2.83,1.33,1.00,7.17,1.00,2.00,HIGH ENERGY,,
243,2.67,6.67,6.00,1.33,5.00,1.00,1.00,1.00,HIGH ENERGY,,
244,5.33,6.50,3.67,1.00,1.00,7.33,1.00,2.67,HIGH ENERGY,,
245,3.17,6.50,5.33,1.80,5.20,1.00,1.00,1.00,HIGH ENERGY,,
246,5.50,6.33,3.50,1.17,1.00,3.50,1.67,1.83,HIGH ENERGY,,
247,3.80,6.20,4.20,1.00,1.00,2.67,2.50,1.00,HIGH ENERGY,,
248,3.60,6.20,6.40,4.33,6.67,1.00,1.50,1.00,HIGH ENERGY,,
249,4.00,6.20,5.80,3.00,4.83,1.50,1.33,1.00,HIGH ENERGY,,
250,4.50,6.17,4.50,1.00,1.00,7.20,1.00,1.00,HIGH ENERGY,,
251,2.40,6.00,5.60,4.00,3.00,1.17,1.00,1.00,HIGH ENERGY,,
252,4.00,6.00,4.00,1.00,1.00,4.67,1.33,1.00,HIGH ENERGY,,
253,2.67,6.00,6.33,3.83,2.50,1.50,1.00,1.00,HIGH ENERGY,,
254,5.00,6.00,4.60,2.17,1.00,1.00,2.83,1.00,HIGH ENERGY,,
255,3.17,5.83,5.50,3.17,1.50,1.67,1.33,1.00,HIGH ENERGY,,
256,5.60,5.80,3.80,1.00,1.00,4.83,1.67,1.50,HIGH ENERGY,,
257,3.60,5.80,5.80,2.50,2.33,2.33,1.00,1.00,HIGH ENERGY,,
258,5.40,5.80,4.80,1.17,1.50,1.67,3.33,1.00,HIGH ENERGY,,
259,4.00,5.67,4.83,1.50,2.33,2.00,4.00,1.00,HIGH ENERGY,,
260,4.80,5.60,3.60,1.00,1.00,6.83,1.17,1.00,HIGH ENERGY,,
261,3.80,5.40,5.20,1.00,1.33,4.00,1.00,1.00,HIGH ENERGY,,
262,4.67,5.33,4.67,1.00,1.80,2.60,1.60,2.20,HIGH ENERGY,,
263,4.33,5.33,3.00,1.17,1.00,7.50,1.17,1.50,HIGH ENERGY,,
264,5.83,5.00,2.83,1.00,1.00,6.17,1.00,1.33,HIGH ENERGY,,
265,3.83,4.83,4.17,1.00,2.20,4.80,1.00,2.00,HIGH ENERGY,,
266,2.20,4.80,6.00,1.50,6.67,1.00,1.33,1.00,HIGH ENERGY,,
267,3.00,4.60,5.20,6.00,5.33,1.00,1.00,1.00,HIGH ENERGY,,
268,4.33,4.33,4.33,1.00,1.00,4.17,2.17,2.67,HIGH ENERGY,,
269,3.33,4.00,4.83,2.17,2.50,1.00,2.33,1.00,HIGH ENERGY,,
270,5.80,3.80,2.60,1.00,1.00,4.40,1.40,1.80,HIGH ENERGY,,
271,5.80,1.20,1.40,1.00,1.00,1.00,6.00,4.17,LOW ENERGY,,
272,5.50,1.33,2.83,1.00,1.00,1.00,5.80,4.60,LOW ENERGY,,
273,3.00,1.40,4.20,1.00,3.50,1.00,6.00,1.00,LOW ENERGY,,
274,4.50,1.50,3.00,1.00,1.67,1.00,4.00,2.33,LOW ENERGY,,
275,5.50,1.50,1.33,1.00,1.00,1.00,5.83,7.17,LOW ENERGY,,
276,4.80,1.60,3.40,1.00,1.67,1.00,4.00,4.33,LOW ENERGY,,
277,5.20,1.80,2.20,1.00,1.00,1.00,4.67,5.00,LOW ENERGY,,
278,4.80,1.80,1.60,1.00,1.33,1.00,7.00,4.50,LOW ENERGY,,
279,5.40,1.80,2.40,1.00,2.17,1.00,6.00,2.67,LOW ENERGY,,
280,3.67,1.83,4.00,1.00,3.17,1.17,4.00,1.33,LOW ENERGY,,
281,4.67,1.83,2.17,1.00,1.67,1.00,2.33,4.67,LOW ENERGY,,
282,5.20,2.00,2.80,1.00,1.33,1.67,4.17,4.17,LOW ENERGY,,
283,4.17,2.00,3.33,1.00,1.00,1.00,5.67,2.67,LOW ENERGY,,
284,5.20,2.20,2.80,1.00,1.00,2.00,6.83,4.00,LOW ENERGY,,
285,4.33,2.33,3.17,2.00,2.17,1.17,5.50,1.67,LOW ENERGY,,
286,3.17,2.33,3.67,1.00,3.20,1.00,3.60,3.60,LOW ENERGY,,
287,5.60,2.40,2.60,1.17,1.00,1.00,6.17,4.00,LOW ENERGY,,
288,5.60,2.40,3.00,1.40,1.00,1.00,7.20,3.40,LOW ENERGY,,
289,6.80,2.40,1.00,1.00,1.00,4.67,1.67,6.83,LOW ENERGY,,
290,4.50,2.50,3.83,1.00,1.00,1.00,6.00,4.67,LOW ENERGY,,
291,5.00,2.50,3.00,1.00,2.50,1.00,4.67,2.50,LOW ENERGY,,
292,4.80,2.60,3.60,1.00,1.00,1.67,3.50,4.00,LOW ENERGY,,
293,4.20,2.80,3.20,1.00,1.00,1.00,4.83,4.33,LOW ENERGY,,
294,3.83,3.00,3.67,2.40,1.60,1.00,5.00,1.60,LOW ENERGY,,
295,4.00,3.00,4.40,1.00,2.17,1.17,5.00,1.33,LOW ENERGY,,
296,5.60,3.00,2.80,1.00,1.00,1.00,4.83,3.83,LOW ENERGY,,
297,3.60,3.00,5.40,1.00,1.17,1.50,3.50,3.17,LOW ENERGY,,
298,3.50,3.33,5.17,1.00,1.83,1.17,5.33,2.50,LOW ENERGY,,
299,5.33,3.67,3.17,1.00,1.00,2.40,1.60,6.20,LOW ENERGY,,
300,6.40,4.20,2.00,1.00,1.00,6.17,1.00,5.00,LOW ENERGY,,
301,2.00,6.40,7.00,5.83,6.33,1.00,1.00,1.00,HIGH TENSION,,
302,1.00,5.67,7.00,5.83,7.17,1.00,1.00,1.00,HIGH TENSION,,
303,1.00,4.67,7.00,5.20,4.80,1.00,1.80,1.00,HIGH TENSION,,
304,2.20,5.80,7.00,6.00,7.33,1.00,1.00,1.00,HIGH TENSION,,
305,1.83,5.17,6.83,6.50,4.83,1.00,1.00,1.00,HIGH TENSION,,
306,2.00,3.60,6.60,3.33,7.00,1.00,2.00,1.00,HIGH TENSION,,
307,3.20,5.80,6.60,4.17,5.33,1.00,1.67,1.00,HIGH TENSION,,
308,2.20,6.40,6.60,5.17,4.33,1.00,1.00,1.00,HIGH TENSION,,
309,1.67,4.00,6.50,5.67,6.67,1.00,1.00,1.00,HIGH TENSION,,
310,4.20,6.20,6.40,4.83,5.17,1.00,1.00,1.00,HIGH TENSION,,
311,2.80,5.20,6.40,5.83,4.50,1.00,1.33,1.00,HIGH TENSION,,
312,1.80,5.80,6.40,4.83,7.00,1.00,1.00,1.00,HIGH TENSION,,
313,1.60,3.80,6.20,2.67,6.83,1.00,1.33,1.00,HIGH TENSION,,
314,3.33,6.33,6.17,6.33,3.00,1.17,1.00,1.00,HIGH TENSION,,
315,3.00,5.33,6.17,5.50,4.17,1.00,1.33,1.00,HIGH TENSION,,
316,2.83,5.83,6.00,4.00,5.00,1.00,1.00,1.00,HIGH TENSION,,
317,3.00,3.50,5.83,1.67,6.17,1.33,3.00,1.00,HIGH TENSION,,
318,2.83,3.83,5.83,2.33,7.17,1.00,2.17,1.00,HIGH TENSION,,
319,2.80,6.20,5.80,6.00,6.00,1.00,1.00,1.00,HIGH TENSION,,
320,2.50,5.00,5.67,1.33,6.50,1.00,1.00,1.00,HIGH TENSION,,
321,3.00,5.20,5.60,3.17,4.50,1.00,1.00,1.00,HIGH TENSION,,
322,4.60,5.40,5.60,2.17,2.83,1.67,2.83,1.00,HIGH TENSION,,
